name;company;technology;job;location_city;location_country;salary_low;salary_high;salary_curr
QA/ Data Analyst;AVENGA;Testing SQL QlikView PySpark;data analyst;Wrocław;PL;16800.0;20000.0;PLN
Data Analyst /Product Analyst;apreel Sp. z o.o.;Data SQL Cloud computing UX;data analyst;Warsaw;PL;23520.0;28560.0;PLN
Mid Data Analyst;SNI;Data SQL BI Qlik;data analyst;Wrocław;PL;15120.0;18480.0;PLN
Traffic Data Analyst;RTB House;Backend Python SQL GDS;data analyst;ZDALNA;N/A;10000.0;15000.0;PLN
Data Analyst;Cognitum Services SA;Data AWS SQL Data analysis;data analyst;Warszawa;PL;17000.0;23000.0;PLN
Data Analyst (Qlik Admin);Volvo Group;Backend Qlik Azure Databricks;data analyst;ZDALNA;N/A;19000.0;24000.0;PLN
Data Analyst;Ferrosan Medical Devices;Data Python Degree Data science;data analyst;Szczecin;PL;14000.0;24000.0;PLN
Data Analyst;SymphonyAI;Data Python SQL ETL;data analyst;Poznań;PL;0.0;0.0;PLN
Data Analyst;Volvo Group;Data SQL Azure Power BI;data analyst;Wrocław;PL;12000.0;18000.0;PLN
Data Analyst;Schneider Electric;Data Python SQL Tableau;data analyst;Warsaw;PL;0.0;0.0;PLN
Data & Management Information Reporting Analyst;IPF Digital;Data SQL Data analysis Data analytics;data analyst;Warszawa;PL;0.0;0.0;PLN
.Net with PowerBI Engineer;Capco Poland;Data Data analyst .NET Power Query/Power BI;data analyst;ZDALNA;N/A;0.0;0.0;PLN
Senior Technical Project Manager;RTB House;Project Manager Data analyst Project management Web technologies;data analyst;ZDALNA;N/A;27000.0;35000.0;PLN
Data Engineer in Microsoft Azure Cloud;Avanade Poland;Data Data analyst Python Azure;data analyst;ZDALNA;N/A;19320.0;29400.0;PLN
REMOTE Senior Python Developer (Azure);Link Group;Backend Python K8s PostgreSQL;data analyst;ZDALNA;N/A;21840.0;30240.0;PLN
Remote Senior Data Engineer;Varwise;Data Scala Spark AWS;data analyst;ZDALNA;N/A;7500.0;10000.0;USD
Data Engineer;Tooploox;Data SQL Snowflake BigQuery;data analyst;ZDALNA;N/A;15000.0;18000.0;PLN
Oracle/SQL Developer;T-Mobile Polska;Data SQL Oracle MSSQL;data analyst;Warszawa;PL;0.0;0.0;PLN
Data Scientist;Avenga;Data Computer vision NLP SQL;data analyst;ZDALNA;N/A;25200.0;28560.0;PLN
Senior Data Engineer - Remote;Link Group;Data Python ELT ETL;data analyst;ZDALNA;N/A;23520.0;26880.0;PLN
Senior Data Engineer;Craft.co;Data Python Data engineering SQL;data engineer;ZDALNA;N/A;28000.0;34000.0;PLN
Financial Data Engineer;SoftKraft;Backend Python SQL Git;data engineer;ZDALNA;N/A;15120.0;19320.0;PLN
