name;company;technology;job;location_city;location_country;salary_low;salary_high;salary_curr
Senior Data Engineer (Python / Snowflake);1dea;Data Python Snowflake SQL;data engineer;ZDALNA;N/A;23520.0;26880.0;PLN
Senior Data Engineer;Sunscrapers;Data Python ETL Airflow;data engineer;ZDALNA;N/A;27000.0;34000.0;PLN
Azure Data Engineer - Remote;Link Group;Data SQL Cloud Azure Cloud;data engineer;ZDALNA;N/A;18480.0;23520.0;PLN
Data Engineer (IBM DataStage, Python);Devire;Data Ibm datastage Python ETL;data engineer;Gdynia;PL;21840.0;26880.0;PLN
Senior NLP Data Scientist;Adaptiq;Data Python NLP Deep learning;data scientist;ZDALNA;N/A;21990.0;27988.0;PLN
Data Scientist;nCube;Data Python Data science pandas;data scientist;ZDALNA;N/A;15993.0;25988.0;PLN
Data Scientist;Cognitum Services SA;Data SQL Data analysis Forecasting;data scientist;ZDALNA;N/A;28560.0;36960.0;PLN
Principal Data Scientist Engineer (1/515);Infolet;Data C++ Java Communication skills;data scientist;ZDALNA;N/A;31920.0;35280.0;PLN
AI Engineer / Data Scientist;7N;Data Python Data science Big data;data scientist;ZDALNA;N/A;20160.0;26880.0;PLN
Senior Data Scientist/ AI Engineer;SquareOne;Data Python AI SQL;data scientist;ZDALNA;N/A;23520.0;30240.0;PLN
Data Scientist;Shelf;Data AI Data analytics NLP;data scientist;ZDALNA;N/A;23989.0;31986.0;PLN
Remote Data Scientist;Webinterpret Poland Sp. z o.o.;Data Python Data analysis Machine learning;data scientist;ZDALNA;N/A;0.0;0.0;PLN
Data Scientist;7N;Data Python pandas NumPy;data scientist;Warszawa;PL;21840.0;26880.0;PLN
Senior Generative AI Data Scientist;Spyrosoft;Data Python Data science AI;data scientist;Warszawa;PL;18480.0;26880.0;PLN
Lead Data Scientist (NLP, LLM, GenAI);Sigmoidal;Data Python LLM OpenAI;data scientist;ZDALNA;N/A;32000.0;44000.0;PLN
Senior Data Scientist - Remote;Link Group;Data Python SQL angielski;data scientist;ZDALNA;N/A;25200.0;28560.0;PLN
Lead Data Scientist;Addepto;AI Python Deep learning Machine learning;data scientist;ZDALNA;N/A;19000.0;34000.0;PLN
Data Scientist with ML;AVENGA;Data Python Machine learning Keras;data scientist;ZDALNA;N/A;25700.0;27700.0;PLN
Senior Data Scientist (NLP and LLMs), AI Research;Brainly Sp. z o.o.;Data Python NLP Transformers;data scientist;ZDALNA;N/A;26000.0;35000.0;PLN
Data Scientist/Python Developer;apreel Sp. z o.o.;Backend Python Product development DevOps;data scientist;ZDALNA;N/A;25200.0;28560.0;PLN
Data Scientist;Lingaro;Data Python Optimalization Azure;data scientist;ZDALNA;N/A;21840.0;25200.0;PLN
Senior Data Scientist;SKY ENGINE AI;AI Computer vision Segmentation Machine learning;data scientist;Warsaw;PL;20000.0;28000.0;PLN
Staff Machine Learning Engineer;Stellantis;Data Data scientist AWS Data science;data scientist;ZDALNA;N/A;20000.0;30000.0;PLN
BI Developer;ITMatch;Business Intelligence Data scientist Python SQL;data scientist;Cracow;PL;17000.0;24000.0;PLN
