name;company;technology;job;location_city;location_country;salary_low;salary_high;salary_curr;salary_avg;is_senior
qa/ data analyst;AVENGA;Testing SQL QlikView PySpark;data analyst;wrocław;PL;16800.0;20000.0;PLN;18400.0;0
data analyst /product analyst;apreel Sp. z o.o.;Data SQL Cloud computing UX;data analyst;warszawa;PL;23520.0;28560.0;PLN;26040.0;0
mid data analyst;SNI;Data SQL BI Qlik;data analyst;wrocław;PL;15120.0;18480.0;PLN;16800.0;0
traffic data analyst;RTB House;Backend Python SQL GDS;data analyst;N/A;;10000.0;15000.0;PLN;12500.0;0
data analyst;Cognitum Services SA;Data AWS SQL Data analysis;data analyst;warszawa;PL;17000.0;23000.0;PLN;20000.0;0
data analyst (qlik admin);Volvo Group;Backend Qlik Azure Databricks;data analyst;N/A;;19000.0;24000.0;PLN;21500.0;0
data analyst;Ferrosan Medical Devices;Data Python Degree Data science;data analyst;szczecin;PL;14000.0;24000.0;PLN;19000.0;0
data analyst;SymphonyAI;Data Python SQL ETL;data analyst;poznań;PL;0.0;0.0;PLN;0.0;0
data analyst;Volvo Group;Data SQL Azure Power BI;data analyst;wrocław;PL;12000.0;18000.0;PLN;15000.0;0
data analyst;Schneider Electric;Data Python SQL Tableau;data analyst;warszawa;PL;0.0;0.0;PLN;0.0;0
data & management information reporting analyst;IPF Digital;Data SQL Data analysis Data analytics;data analyst;warszawa;PL;0.0;0.0;PLN;0.0;0
.net with powerbi engineer;Capco Poland;Data Data analyst .NET Power Query/Power BI;data analyst;N/A;;0.0;0.0;PLN;0.0;0
senior technical project manager;RTB House;Project Manager Data analyst Project management Web technologies;data analyst;N/A;;27000.0;35000.0;PLN;31000.0;1
data engineer in microsoft azure cloud;Avanade Poland;Data Data analyst Python Azure;data analyst;N/A;;19320.0;29400.0;PLN;24360.0;0
remote senior python developer (azure);Link Group;Backend Python K8s PostgreSQL;data analyst;N/A;;21840.0;30240.0;PLN;26040.0;1
data engineer;Tooploox;Data SQL Snowflake BigQuery;data analyst;N/A;;15000.0;18000.0;PLN;16500.0;0
oracle/sql developer;T-Mobile Polska;Data SQL Oracle MSSQL;data analyst;warszawa;PL;0.0;0.0;PLN;0.0;0
data scientist;Avenga;Data Computer vision NLP SQL;data analyst;N/A;;25200.0;28560.0;PLN;26880.0;0
senior data engineer - remote;Link Group;Data Python ELT ETL;data analyst;N/A;;23520.0;26880.0;PLN;25200.0;1
senior data engineer;Craft.co;Data Python Data engineering SQL;data engineer;N/A;;28000.0;34000.0;PLN;31000.0;1
financial data engineer;SoftKraft;Backend Python SQL Git;data engineer;N/A;;15120.0;19320.0;PLN;17220.0;0
big data engineer (with palantir foundry);N-iX;Data Python Palantir PySpark;data engineer;N/A;;20058.0;27531.0;PLN;23794.5;0
data engineer with cloud;GFT Poland;Data Python Dataproc for Spark Dataflow for Apache Beam;data engineer;poznań;PL;19320.0;26376.0;PLN;22848.0;0
